City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
173,Coahuayana,MX,2021-08-26 22:25:03,18.7333,-103.6833,89.08,76,100,4.72,overcast clouds
174,Sola,VU,2021-08-26 22:25:04,-13.8833,167.55,78.64,76,64,22.55,broken clouds
175,Acapulco,MX,2021-08-26 22:21:30,16.8634,-99.8901,87.62,66,90,24.16,overcast clouds
176,Constitucion,CL,2021-08-26 22:25:04,-35.3333,-72.4167,52.07,69,19,11.1,few clouds
177,Moyale,KE,2021-08-26 22:25:05,3.5167,39.0584,68.25,54,0,4.61,clear sky
178,Ballina,AU,2021-08-26 22:25:05,-28.8667,153.5667,57.78,58,0,10.36,clear sky
179,Nanortalik,GL,2021-08-26 22:25:05,60.1432,-45.2371,42.69,89,36,10.8,scattered clouds
180,Cockburn Town,TC,2021-08-26 22:25:06,21.4612,-71.1419,82.35,79,50,16.55,scattered clouds
181,Kazanskoye,RU,2021-08-26 22:25:06,55.6448,69.235,67.19,43,26,3.04,scattered clouds
182,Tezu,IN,2021-08-26 22:25:06,27.9167,96.1667,73.83,95,100,2.55,overcast clouds
183,Ahuimanu,US,2021-08-26 22:25:07,21.4447,-157.8378,87.51,58,40,11.5,scattered clouds
184,Georgetown,MY,2021-08-26 22:25:06,5.4112,100.3354,78.89,91,20,3.44,few clouds
185,Mecca,SA,2021-08-26 22:25:08,21.4267,39.8261,96.57,37,92,9.78,overcast clouds
186,Walvis Bay,NA,2021-08-26 22:25:08,-22.9575,14.5053,54.09,87,0,4.61,clear sky
187,Esperance,AU,2021-08-26 22:25:08,-33.8667,121.9,46.24,78,86,23.38,light rain
188,Waipawa,NZ,2021-08-26 22:25:09,-41.4122,175.5153,52.03,87,100,4.72,light rain
189,Cherskiy,RU,2021-08-26 22:25:09,68.75,161.3,49.12,65,95,6.26,overcast clouds
190,Northam,GB,2021-08-26 22:25:10,51.0333,-4.2167,63.01,85,23,4.59,few clouds
191,Sambava,MG,2021-08-26 22:25:10,-14.2667,50.1667,65.7,82,2,10.25,clear sky
192,Vondrozo,MG,2021-08-26 22:25:10,-22.8167,47.2833,60.31,99,71,2.64,light rain
193,Arraial Do Cabo,BR,2021-08-26 22:25:11,-22.9661,-42.0278,73.36,78,0,12.66,clear sky
194,Mar Del Plata,AR,2021-08-26 22:24:42,-38.0023,-57.5575,46.42,81,0,4.61,light rain
195,Saint-Raphael,HT,2021-08-26 22:25:11,19.4333,-72.2,81.77,77,62,5.57,broken clouds
196,Cumberland,US,2021-08-26 22:25:12,35.0502,-78.8664,91.9,56,1,10.36,clear sky
197,Bambous Virieux,MU,2021-08-26 22:25:12,-20.3428,57.7575,66.45,94,75,3.44,broken clouds
198,Shu,KZ,2021-08-26 22:25:12,43.5983,73.7614,73.99,25,27,5.73,scattered clouds
199,Parainen,FI,2021-08-26 22:25:13,60.3067,22.301,56.14,88,100,19.53,overcast clouds
200,Guerrero Negro,MX,2021-08-26 22:25:13,27.9769,-114.0611,85.17,54,0,14.97,clear sky
201,Yulara,AU,2021-08-26 22:25:14,-25.2406,130.9889,46.24,36,74,5.75,broken clouds
202,Sillod,IN,2021-08-26 22:25:14,20.3,75.65,71.58,86,100,7.61,overcast clouds
203,Palmer,US,2021-08-26 22:25:14,42.1584,-72.3287,92.01,62,40,5.75,scattered clouds
204,Samana,DO,2021-08-26 22:25:15,19.2056,-69.3369,85.96,74,30,10.8,scattered clouds
205,Cascais,PT,2021-08-26 22:23:22,38.6979,-9.4215,69.48,70,0,5.97,clear sky
206,Searcy,US,2021-08-26 22:25:15,35.2506,-91.7363,98.6,52,20,5.75,few clouds
207,Kokomo,US,2021-08-26 22:20:22,40.4864,-86.1336,85.91,77,1,9.22,moderate rain
208,Faanui,PF,2021-08-26 22:25:16,-16.4833,-151.75,79.47,61,91,11.23,overcast clouds
209,Talcahuano,CL,2021-08-26 22:25:15,-36.7167,-73.1167,53.28,71,40,8.05,scattered clouds
210,Pelotas,BR,2021-08-26 22:25:16,-31.7719,-52.3425,54.86,78,0,3.53,clear sky
