City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
153,Santiago,CL,60.24,clear sky,-33.4569,-70.6483,Che Lagarto Hostel Santiago
154,San Cristobal,VE,77.18,overcast clouds,7.7669,-72.225,Posada Villaven C.A.
156,Tocopilla,CL,59.63,few clouds,-22.092,-70.1979,Hotel Galvarino
157,Vaini,TO,68.16,broken clouds,-21.2,-175.2,Keleti Beach Resort
159,Shingu,JP,80.91,broken clouds,33.7333,135.9833,Shingu UI Hotel
162,Jining,CN,63.93,overcast clouds,35.405,116.5814,Yunhe Star Hotel
163,Lorengau,PG,81.46,broken clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
164,Abashiri,JP,67.15,overcast clouds,44.0213,144.2697,Tōyoko Inn Hokkaidō Okhotsk Abashiri Ekimae
165,Nkowakowa,ZA,64.45,clear sky,-23.8878,30.2871,Moytel 966A Guest House & Spa
167,Tangshan,CN,63.57,light rain,39.6333,118.1833,Civil Affairs Hotel
169,Tukrah,LY,78.84,clear sky,32.5341,20.5791,Lagrota restaurant
